beginTask.keys,beginTask.rt,study_intro.thisRepN,study_intro.thisTrialN,study_intro.thisN,study_intro.thisIndex,study_intro.ran,intro,overall_instr,category_instr,inverseImg,originalImg,invLocX,oriLocX,invLocY,oriLocY,participant_id,condition,date,expName,psychopyVersion,OS,frameRate,begin_rc.keys,begin_rc.rt,cat_loop.thisRepN,cat_loop.thisTrialN,cat_loop.thisN,cat_loop.thisIndex,cat_loop.ran,image_choice.keys,image_choice.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,age_resp.keys,age_resp.rt,sex_resp.keys,sex_resp.rt,race_resp.keys,race_resp.rt
space,54.71,0,0,0,0,1,"Bullshit is defined as any statement constructed without regard to the truth. This is in contrast to a lie, which is constructed with the truth as a reference point.

Bullshittees are people who continuously believe bullshit that they hear. While bullshit is frequently encountered in daily life, little is known about how people mentally visualize what a bullshittee looks like. This study was designed to do that.

The following quotes are examples of bullshit. Each of these is designed to sound profound or inspirational but are actually just jumbles of random words in a correct synactical structure without any semantic meaning:

'Synergistic strategies holistically predominate adaptive potentialities.'

'Thriving companies collaboratively utilize parallel fungibility.'

'In the near future, brave pioneers will use crowdsourcing to rapidly transform communities.'

'Soon, engaged change-makers will use virtual reality to efficiently socialize ideas.'

Press the SPACE BAR to continue to the next page.","You will be asked to classify faces as BULLSHITTEES!

In the next section, please indicate whether you believe the face on the left or the face on the right looks more like a BULLSHITTEE.

Please use the LEFT and RIGHT arrow keys to indicate your response.

Press the SPACE BAR when you're ready to begin!",Which image looks most like a BULLSHITTEE?,stimuli/rcic_base_1_00002_inv.jpg,stimuli/rcic_base_1_00002_ori.jpg,300,-300,0,0,4602160 ,2,2023-10-23_15h43.49.931,image_generation_task,2022.2.5,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Bullshit is defined as any statement constructed without regard to the truth. This is in contrast to a lie, which is constructed with the truth as a reference point.

Bullshittees are people who continuously believe bullshit that they hear. While bullshit is frequently encountered in daily life, little is known about how people mentally visualize what a bullshittee looks like. This study was designed to do that.

The following quotes are examples of bullshit. Each of these is designed to sound profound or inspirational but are actually just jumbles of random words in a correct synactical structure without any semantic meaning:

'Synergistic strategies holistically predominate adaptive potentialities.'

'Thriving companies collaboratively utilize parallel fungibility.'

'In the near future, brave pioneers will use crowdsourcing to rapidly transform communities.'

'Soon, engaged change-makers will use virtual reality to efficiently socialize ideas.'

Press the SPACE BAR to continue to the next page.","You will be asked to classify faces as BULLSHITTEES!

In the next section, please indicate whether you believe the face on the left or the face on the right looks more like a BULLSHITTEE.

Please use the LEFT and RIGHT arrow keys to indicate your response.

Press the SPACE BAR when you're ready to begin!",Which image looks most like a BULLSHITTEE?,stimuli/rcic_base_1_00002_inv.jpg,stimuli/rcic_base_1_00002_ori.jpg,300,-300,0,0,4602160 ,2,2023-10-23_15h43.49.931,image_generation_task,2022.2.5,MacIntel,58.82352941,space,9.9,0,0,0,0,1,,,,,,,,,,,,,
,,,,,,,"Bullshit is defined as any statement constructed without regard to the truth. This is in contrast to a lie, which is constructed with the truth as a reference point.

Bullshittees are people who continuously believe bullshit that they hear. While bullshit is frequently encountered in daily life, little is known about how people mentally visualize what a bullshittee looks like. This study was designed to do that.

The following quotes are examples of bullshit. Each of these is designed to sound profound or inspirational but are actually just jumbles of random words in a correct synactical structure without any semantic meaning:

'Synergistic strategies holistically predominate adaptive potentialities.'

'Thriving companies collaboratively utilize parallel fungibility.'

'In the near future, brave pioneers will use crowdsourcing to rapidly transform communities.'

'Soon, engaged change-makers will use virtual reality to efficiently socialize ideas.'

Press the SPACE BAR to continue to the next page.","You will be asked to classify faces as BULLSHITTEES!

In the next section, please indicate whether you believe the face on the left or the face on the right looks more like a BULLSHITTEE.

Please use the LEFT and RIGHT arrow keys to indicate your response.

Press the SPACE BAR when you're ready to begin!",Which image looks most like a BULLSHITTEE?,stimuli/rcic_base_1_00191_inv.jpg,stimuli/rcic_base_1_00191_ori.jpg,-300,300,0,0,4602160 ,2,2023-10-23_15h43.49.931,image_generation_task,2022.2.5,MacIntel,58.82352941,,,,,,,,left,64.367,0,0,0,190,1,,,,,,
,,,,,,,"Bullshit is defined as any statement constructed without regard to the truth. This is in contrast to a lie, which is constructed with the truth as a reference point.

Bullshittees are people who continuously believe bullshit that they hear. While bullshit is frequently encountered in daily life, little is known about how people mentally visualize what a bullshittee looks like. This study was designed to do that.

The following quotes are examples of bullshit. Each of these is designed to sound profound or inspirational but are actually just jumbles of random words in a correct synactical structure without any semantic meaning:

'Synergistic strategies holistically predominate adaptive potentialities.'

'Thriving companies collaboratively utilize parallel fungibility.'

'In the near future, brave pioneers will use crowdsourcing to rapidly transform communities.'

'Soon, engaged change-makers will use virtual reality to efficiently socialize ideas.'

Press the SPACE BAR to continue to the next page.","You will be asked to classify faces as BULLSHITTEES!

In the next section, please indicate whether you believe the face on the left or the face on the right looks more like a BULLSHITTEE.

Please use the LEFT and RIGHT arrow keys to indicate your response.

Press the SPACE BAR when you're ready to begin!",Which image looks most like a BULLSHITTEE?,stimuli/rcic_base_1_00094_inv.jpg,stimuli/rcic_base_1_00094_ori.jpg,300,-300,0,0,4602160 ,2,2023-10-23_15h43.49.931,image_generation_task,2022.2.5,MacIntel,58.82352941,,,,,,,,right,13.795,0,1,1,93,1,,,,,,
,,,,,,,"Bullshit is defined as any statement constructed without regard to the truth. This is in contrast to a lie, which is constructed with the truth as a reference point.

Bullshittees are people who continuously believe bullshit that they hear. While bullshit is frequently encountered in daily life, little is known about how people mentally visualize what a bullshittee looks like. This study was designed to do that.

The following quotes are examples of bullshit. Each of these is designed to sound profound or inspirational but are actually just jumbles of random words in a correct synactical structure without any semantic meaning:

'Synergistic strategies holistically predominate adaptive potentialities.'

'Thriving companies collaboratively utilize parallel fungibility.'

'In the near future, brave pioneers will use crowdsourcing to rapidly transform communities.'

'Soon, engaged change-makers will use virtual reality to efficiently socialize ideas.'

Press the SPACE BAR to continue to the next page.","You will be asked to classify faces as BULLSHITTEES!

In the next section, please indicate whether you believe the face on the left or the face on the right looks more like a BULLSHITTEE.

Please use the LEFT and RIGHT arrow keys to indicate your response.

Press the SPACE BAR when you're ready to begin!",Which image looks most like a BULLSHITTEE?,stimuli/rcic_base_1_00198_inv.jpg,stimuli/rcic_base_1_00198_ori.jpg,300,-300,0,0,4602160 ,2,2023-10-23_15h43.49.931,image_generation_task,2022.2.5,MacIntel,58.82352941,,,,,,,,left,4.606,0,2,2,197,1,,,,,,
,,,,,,,"Bullshit is defined as any statement constructed without regard to the truth. This is in contrast to a lie, which is constructed with the truth as a reference point.

Bullshittees are people who continuously believe bullshit that they hear. While bullshit is frequently encountered in daily life, little is known about how people mentally visualize what a bullshittee looks like. This study was designed to do that.

The following quotes are examples of bullshit. Each of these is designed to sound profound or inspirational but are actually just jumbles of random words in a correct synactical structure without any semantic meaning:

'Synergistic strategies holistically predominate adaptive potentialities.'

'Thriving companies collaboratively utilize parallel fungibility.'

'In the near future, brave pioneers will use crowdsourcing to rapidly transform communities.'

'Soon, engaged change-makers will use virtual reality to efficiently socialize ideas.'

Press the SPACE BAR to continue to the next page.","You will be asked to classify faces as BULLSHITTEES!

In the next section, please indicate whether you believe the face on the left or the face on the right looks more like a BULLSHITTEE.

Please use the LEFT and RIGHT arrow keys to indicate your response.

Press the SPACE BAR when you're ready to begin!",Which image looks most like a BULLSHITTEE?,stimuli/rcic_base_1_00296_inv.jpg,stimuli/rcic_base_1_00296_ori.jpg,300,-300,0,0,4602160 ,2,2023-10-23_15h43.49.931,image_generation_task,2022.2.5,MacIntel,58.82352941,,,,,,,,right,4.557,0,3,3,295,1,,,,,,
,,,,,,,"Bullshit is defined as any statement constructed without regard to the truth. This is in contrast to a lie, which is constructed with the truth as a reference point.

Bullshittees are people who continuously believe bullshit that they hear. While bullshit is frequently encountered in daily life, little is known about how people mentally visualize what a bullshittee looks like. This study was designed to do that.

The following quotes are examples of bullshit. Each of these is designed to sound profound or inspirational but are actually just jumbles of random words in a correct synactical structure without any semantic meaning:

'Synergistic strategies holistically predominate adaptive potentialities.'

'Thriving companies collaboratively utilize parallel fungibility.'

'In the near future, brave pioneers will use crowdsourcing to rapidly transform communities.'

'Soon, engaged change-makers will use virtual reality to efficiently socialize ideas.'

Press the SPACE BAR to continue to the next page.","You will be asked to classify faces as BULLSHITTEES!

In the next section, please indicate whether you believe the face on the left or the face on the right looks more like a BULLSHITTEE.

Please use the LEFT and RIGHT arrow keys to indicate your response.

Press the SPACE BAR when you're ready to begin!",Which image looks most like a BULLSHITTEE?,stimuli/rcic_base_1_00143_inv.jpg,stimuli/rcic_base_1_00143_ori.jpg,-300,300,0,0,4602160 ,2,2023-10-23_15h43.49.931,image_generation_task,2022.2.5,MacIntel,58.82352941,,,,,,,,left,2.565,0,4,4,142,1,,,,,,
,,,,,,,"Bullshit is defined as any statement constructed without regard to the truth. This is in contrast to a lie, which is constructed with the truth as a reference point.

Bullshittees are people who continuously believe bullshit that they hear. While bullshit is frequently encountered in daily life, little is known about how people mentally visualize what a bullshittee looks like. This study was designed to do that.

The following quotes are examples of bullshit. Each of these is designed to sound profound or inspirational but are actually just jumbles of random words in a correct synactical structure without any semantic meaning:

'Synergistic strategies holistically predominate adaptive potentialities.'

'Thriving companies collaboratively utilize parallel fungibility.'

'In the near future, brave pioneers will use crowdsourcing to rapidly transform communities.'

'Soon, engaged change-makers will use virtual reality to efficiently socialize ideas.'

Press the SPACE BAR to continue to the next page.","You will be asked to classify faces as BULLSHITTEES!

In the next section, please indicate whether you believe the face on the left or the face on the right looks more like a BULLSHITTEE.

Please use the LEFT and RIGHT arrow keys to indicate your response.

Press the SPACE BAR when you're ready to begin!",Which image looks most like a BULLSHITTEE?,stimuli/rcic_base_1_00300_inv.jpg,stimuli/rcic_base_1_00300_ori.jpg,300,-300,0,0,4602160 ,2,2023-10-23_15h43.49.931,image_generation_task,2022.2.5,MacIntel,58.82352941,,,,,,,,left,2.384,0,5,5,299,1,,,,,,
,,,,,,,"Bullshit is defined as any statement constructed without regard to the truth. This is in contrast to a lie, which is constructed with the truth as a reference point.

Bullshittees are people who continuously believe bullshit that they hear. While bullshit is frequently encountered in daily life, little is known about how people mentally visualize what a bullshittee looks like. This study was designed to do that.

The following quotes are examples of bullshit. Each of these is designed to sound profound or inspirational but are actually just jumbles of random words in a correct synactical structure without any semantic meaning:

'Synergistic strategies holistically predominate adaptive potentialities.'

'Thriving companies collaboratively utilize parallel fungibility.'

'In the near future, brave pioneers will use crowdsourcing to rapidly transform communities.'

'Soon, engaged change-makers will use virtual reality to efficiently socialize ideas.'

Press the SPACE BAR to continue to the next page.","You will be asked to classify faces as BULLSHITTEES!

In the next section, please indicate whether you believe the face on the left or the face on the right looks more like a BULLSHITTEE.

Please use the LEFT and RIGHT arrow keys to indicate your response.

Press the SPACE BAR when you're ready to begin!",Which image looks most like a BULLSHITTEE?,stimuli/rcic_base_1_00240_inv.jpg,stimuli/rcic_base_1_00240_ori.jpg,300,-300,0,0,4602160 ,2,2023-10-23_15h43.49.931,image_generation_task,2022.2.5,MacIntel,58.82352941,,,,,,,,right,3.091,0,6,6,239,1,,,,,,
,,,,,,,"Bullshit is defined as any statement constructed without regard to the truth. This is in contrast to a lie, which is constructed with the truth as a reference point.

Bullshittees are people who continuously believe bullshit that they hear. While bullshit is frequently encountered in daily life, little is known about how people mentally visualize what a bullshittee looks like. This study was designed to do that.

The following quotes are examples of bullshit. Each of these is designed to sound profound or inspirational but are actually just jumbles of random words in a correct synactical structure without any semantic meaning:

'Synergistic strategies holistically predominate adaptive potentialities.'

'Thriving companies collaboratively utilize parallel fungibility.'

'In the near future, brave pioneers will use crowdsourcing to rapidly transform communities.'

'Soon, engaged change-makers will use virtual reality to efficiently socialize ideas.'

Press the SPACE BAR to continue to the next page.","You will be asked to classify faces as BULLSHITTEES!

In the next section, please indicate whether you believe the face on the left or the face on the right looks more like a BULLSHITTEE.

Please use the LEFT and RIGHT arrow keys to indicate your response.

Press the SPACE BAR when you're ready to begin!",Which image looks most like a BULLSHITTEE?,stimuli/rcic_base_1_00021_inv.jpg,stimuli/rcic_base_1_00021_ori.jpg,-300,300,0,0,4602160 ,2,2023-10-23_15h43.49.931,image_generation_task,2022.2.5,MacIntel,58.82352941,,,,,,,,left,5.073,0,7,7,20,1,,,,,,
