StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,1_traits_1,1_traits_2,1_traits_3,1_traits_4,1_traits_5,1_age _1,2_traits_1,2_traits_2,2_traits_3,2_traits_4,2_traits_5,2_age _1,3_traits_1,3_traits_2,3_traits_3,3_traits_4,3_traits_5,3_age _1,4_traits_1,4_traits_2,4_traits_3,4_traits_4,4_traits_5,4_age _1,5_traits_1,5_traits_2,5_traits_3,5_traits_4,5_traits_5,5_age _1,6_traits_1,6_traits_2,6_traits_3,6_traits_4,6_traits_5,6_age _1,7_traits_1,7_traits_2,7_traits_3,7_traits_4,7_traits_5,7_age _1,8_traits_1,8_traits_2,8_traits_3,8_traits_4,8_traits_5,8_age _1,9_traits_1,9_traits_2,9_traits_3,9_traits_4,9_traits_5,9_age _1,10_traits_1,10_traits_2,10_traits_3,10_traits_4,10_traits_5,10_age _1,11_traits_1,11_traits_2,11_traits_3,11_traits_4,11_traits_5,11_age _1,12_traits_1,12_traits_2,12_traits_3,12_traits_4,12_traits_5,12_age _1,13_traits_1,13_traits_2,13_traits_3,13_traits_4,13_traits_5,13_age _1,14_traits_1,14_traits_2,14_traits_3,14_traits_4,14_traits_5,14_age _1,15_traits_1,15_traits_2,15_traits_3,15_traits_4,15_traits_5,15_age _1,16_traits_1,16_traits_2,16_traits_3,16_traits_4,16_traits_5,16_age _1,17_traits_1,17_traits_2,17_traits_3,17_traits_4,17_traits_5,17_age _1,18_traits_1,18_traits_2,18_traits_3,18_traits_4,18_traits_5,18_age _1,19_traits_1,19_traits_2,19_traits_3,19_traits_4,19_traits_5,19_age _1,20_traits_1,20_traits_2,20_traits_3,20_traits_4,20_traits_5,20_age _1,1_traits_1,1_traits_2,1_traits_3,1_traits_4,1_traits_5,1_age_1,2_traits_1,2_traits_2,2_traits_3,2_traits_4,2_traits_5,2_age_1,3_traits_1,3_traits_2,3_traits_3,3_traits_4,3_traits_5,3_age_1,4_traits_1,4_traits_2,4_traits_3,4_traits_4,4_traits_5,4_age_1,5_traits_1,5_traits_2,5_traits_3,5_traits_4,5_traits_5,5_age_1,6_traits_1,6_traits_2,6_traits_3,6_traits_4,6_traits_5,6_age_1,7_traits_1,7_traits_2,7_traits_3,7_traits_4,7_traits_5,7_age_1,8_traits_1,8_traits_2,8_traits_3,8_traits_4,8_traits_5,8_age_1,9_traits_1,9_traits_2,9_traits_3,9_traits_4,9_traits_5,9_age_1,10_traits_1,10_traits_2,10_traits_3,10_traits_4,10_traits_5,10_age_1,11_traits_1,11_traits_2,11_traits_3,11_traits_4,11_traits_5,11_age_1,12_traits_1,12_traits_2,12_traits_3,12_traits_4,12_traits_5,12_age_1,13_traits_1,13_traits_2,13_traits_3,13_traits_4,13_traits_5,13_age_1,14_traits_1,14_traits_2,14_traits_3,14_traits_4,14_traits_5,14_age_1,15_traits_1,15_traits_2,15_traits_3,15_traits_4,15_traits_5,15_age_1,16_traits_1,16_traits_2,16_traits_3,16_traits_4,16_traits_5,16_age_1,17_traits_1,17_traits_2,17_traits_3,17_traits_4,17_traits_5,17_age_1,18_traits_1,18_traits_2,18_traits_3,18_traits_4,18_traits_5,18_age_1,19_traits_1,19_traits_2,19_traits_3,19_traits_4,19_traits_5,19_age_1,20_traits_1,20_traits_2,20_traits_3,20_traits_4,20_traits_5,20_age_1,1_traits_1,1_traits_2,1_traits_3,1_traits_4,1_traits_5,1_traits_DO,1_age_1,2_traits_1,2_traits_2,2_traits_3,2_traits_4,2_traits_5,2_traits_DO,2_age_1,3_traits_1,3_traits_2,3_traits_3,3_traits_4,3_traits_5,3_traits_DO,3_age_1,4_traits_1,4_traits_2,4_traits_3,4_traits_4,4_traits_5,4_traits_DO,4_age_1,5_traits_1,5_traits_2,5_traits_3,5_traits_4,5_traits_5,5_traits_DO,5_age_1,6_traits_1,6_traits_2,6_traits_3,6_traits_4,6_traits_5,6_traits_DO,6_age_1,7_traits_1,7_traits_2,7_traits_3,7_traits_4,7_traits_5,7_traits_DO,7_age_1,8_traits_1,8_traits_2,8_traits_3,8_traits_4,8_traits_5,8_traits_DO,8_age_1,9_traits_1,9_traits_2,9_traits_3,9_traits_4,9_traits_5,9_traits_DO,9_age_1,10_traits_1,10_traits_2,10_traits_3,10_traits_4,10_traits_5,10_traits_DO,10_age_1,11_traits_1,11_traits_2,11_traits_3,11_traits_4,11_traits_5,11_traits_DO,11_age_1,12_traits_1,12_traits_2,12_traits_3,12_traits_4,12_traits_5,12_traits_DO,12_age_1,13_traits_1,13_traits_2,13_traits_3,13_traits_4,13_traits_5,13_traits_DO,13_age_1,14_traits_1,14_traits_2,14_traits_3,14_traits_4,14_traits_5,14_traits_DO,14_age_1,15_traits_1,15_traits_2,15_traits_3,15_traits_4,15_traits_5,15_traits_DO,15_age_1,16_traits_1,16_traits_2,16_traits_3,16_traits_4,16_traits_5,16_traits_DO,16_age_1,17_traits_1,17_traits_2,17_traits_3,17_traits_4,17_traits_5,17_traits_DO,17_age_1,18_traits_1,18_traits_2,18_traits_3,18_traits_4,18_traits_5,18_traits_DO,18_age_1,19_traits_1,19_traits_2,19_traits_3,19_traits_4,19_traits_5,19_traits_DO,19_age_1,20_traits_1,20_traits_2,20_traits_3,20_traits_4,20_traits_5,20_traits_DO,20_age_1,partAge,sex,sex_4_TEXT,race,race_6_TEXT,FL_8_DO,faces1_DO,faces2_DO,faces3_DO
3/30/22 12:31,3/30/22 12:49,0,150.210.231.27,100,1030,1,3/30/22 12:49,R_1M6sC6WChBE4jsQ,,,,,40.72520447,-73.94400024,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,4,4,5,1|4|3|2|5,63,5,2,4,5,6,2|4|3|1|5,68,3,1,4,4,4,2|4|3|1|5,42,5,2,4,3,5,1|5|2|3|4,44,4,1,3,4,5,4|5|3|1|2,45,3,1,7,1,7,2|4|3|1|5,60,1,3,6,3,5,2|3|1|5|4,57,5,2,4,4,7,4|1|3|2|5,67,2,2,6,1,5,1|3|2|5|4,54,4,2,3,6,6,3|5|4|2|1,59,3,5,1,5,5,1|4|5|2|3,27,6,3,1,6,5,5|3|1|2|4,26,4,4,2,5,6,5|4|2|3|1,25,4,4,2,4,4,2|3|5|4|1,25,5,5,4,6,6,5|3|1|4|2,34,5,5,4,6,5,3|5|1|4|2,28,2,3,3,5,5,4|3|1|5|2,20,2,3,6,3,4,1|2|5|3|4,33,1,1,4,2,5,3|2|1|5|4,28,2,3,6,3,5,4|3|2|5|1,29,20,1,,3,,faces3,,,face |traits|age
3/30/22 17:40,3/30/22 17:53,0,24.189.202.19,100,745,1,3/30/22 17:53,R_1DXXsDY2JyfwdmG,,,,,40.84700012,-73.86160278,anonymous,EN,1,3,3,3,4,4,20,4,6,6,6,6,41,4,5,4,4,5,39,2,3,2,3,3,24,2,3,2,5,7,40,3,3,3,3,3,54,3,4,4,4,4,37,4,4,4,4,4,18,1,1,2,1,2,19,2,2,2,2,2,19,3,4,3,4,4,26,3,4,4,3,4,22,4,4,4,3,3,21,4,4,4,4,4,27,3,4,3,4,4,19,3,3,4,4,4,20,3,3,3,4,3,22,1,2,2,2,2,20,2,2,2,2,2,19,4,4,5,5,5,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,2,,3,,faces1,face |traits|age ,,
3/30/22 18:52,3/30/22 19:01,0,72.229.24.247,100,530,1,3/30/22 19:01,R_1dzekvXjTYz4GUm,,,,,40.73590088,-73.99040222,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,2,4,56,3,2,2,2,4,63,5,2,2,2,4,69,5,2,2,2,4,57,3,2,2,2,4,68,4,2,2,2,4,67,2,2,2,2,4,58,3,2,2,2,4,72,3,2,2,2,4,67,4,2,2,2,4,68,3,2,2,2,4,47,3,2,2,2,4,25,4,2,2,2,4,32,3,3,2,2,4,24,3,2,2,3,4,22,3,2,2,2,4,21,3,2,2,2,4,34,2,2,2,2,4,28,4,2,2,2,4,31,3,2,2,2,4,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,2,,4,,faces2,,face|age|traits,
3/30/22 20:28,3/30/22 20:36,0,98.14.46.38,100,514,1,3/30/22 20:36,R_UlL0t54lSAMdkRP,,,,,40.751297,-73.88300323,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,4,5,7,1|3|4|5|2,50,4,3,4,6,4,3|5|4|2|1,50,1,1,3,2,5,2|5|4|3|1,40,2,1,4,2,2,4|5|2|1|3,45,1,1,5,2,1,1|4|3|2|5,35,3,1,5,2,5,2|1|4|5|3,49,4,2,5,4,5,3|5|4|1|2,50,4,1,5,2,6,4|5|2|3|1,55,2,4,6,2,5,3|1|2|5|4,45,5,3,6,4,5,4|5|3|1|2,60,5,5,2,4,7,3|4|2|1|5,22,5,6,1,5,3,4|3|1|5|2,23,4,6,5,6,5,3|5|1|4|2,30,5,5,3,6,4,2|5|4|1|3,30,5,3,2,6,7,5|4|2|1|3,30,5,5,3,5,3,1|2|4|3|5,26,1,2,2,3,4,2|4|3|1|5,25,4,3,5,4,5,3|4|2|5|1,32,4,3,4,4,5,2|1|5|3|4,28,2,1,1,1,6,2|4|3|5|1,20,19,1,,1,,faces3,,,face |age|traits
3/31/22 7:15,3/31/22 7:28,0,74.71.204.23,100,758,1,3/31/22 7:28,R_2teVugbaR6EiysZ,,,,,40.63749695,-74.02159882,anonymous,EN,1,3,1,1,2,3,59,4,2,2,3,3,51,3,1,1,2,3,45,2,2,1,2,3,34,3,1,1,2,2,47,3,1,2,2,2,38,3,1,2,2,3,48,4,2,2,4,6,62,3,1,1,2,3,71,3,1,2,2,3,59,4,3,2,3,5,28,3,2,2,2,3,24,4,2,2,3,3,28,4,3,2,2,3,29,3,2,2,2,3,31,4,2,2,3,4,32,4,2,2,4,4,31,3,2,2,2,3,24,3,2,1,2,2,30,3,2,1,2,3,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2,,1,,faces1,face |traits|age ,,
3/31/22 7:28,3/31/22 7:31,0,74.71.204.23,100,164,1,3/31/22 7:31,R_2y9sjqKULd18IcP,,,,,40.63749695,-74.02159882,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,2,3,5|4|2|1|3,52,3,3,2,2,2,1|5|4|2|3,45,2,3,3,3,2,2|1|5|3|4,38,3,1,3,2,4,3|4|2|1|5,43,2,3,3,3,1,2|4|1|5|3,48,2,2,3,2,2,5|2|4|1|3,37,3,3,3,3,1,2|1|3|5|4,46,2,3,3,2,2,3|1|4|5|2,51,3,3,3,2,2,2|4|3|5|1,43,2,3,3,3,4,4|5|2|1|3,64,2,3,3,2,2,3|2|1|4|5,33,2,2,3,3,3,5|2|1|3|4,29,4,3,3,4,2,1|5|2|3|4,29,3,2,3,2,2,1|2|5|4|3,29,2,2,3,2,3,3|1|2|4|5,33,4,2,3,3,3,1|3|2|4|5,30,2,2,3,3,2,4|1|5|3|2,30,4,2,3,3,2,1|4|5|3|2,31,3,3,2,3,3,4|1|2|3|5,37,3,3,3,3,3,4|1|5|3|2,33,20,2,,1,,faces3,,,face |traits|age
3/31/22 8:14,3/31/22 8:25,0,68.195.90.99,100,682,1,3/31/22 8:25,R_12EjSHvRR0R7wSu,,,,,40.68009949,-73.92070007,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,2,5,6,51,6,2,3,4,6,50,6,3,3,5,6,50,6,4,3,6,6,47,6,2,2,4,6,54,6,2,4,2,6,66,6,2,5,2,6,54,6,2,2,6,6,60,6,2,4,3,6,55,6,2,2,4,6,58,6,4,3,6,6,38,6,3,2,3,6,42,6,2,2,4,6,34,6,4,2,3,6,32,6,5,2,4,6,23,6,2,2,3,6,34,6,2,2,3,6,30,6,3,3,3,6,30,6,2,2,4,6,37,6,3,2,4,6,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,2,,6,Afro Latina,faces2,,face|traits|age,
3/31/22 12:28,3/31/22 12:34,0,150.210.231.27,100,388,1,3/31/22 12:34,R_2BxqqVFBF4M2eV1,,,,,40.72520447,-73.94400024,anonymous,EN,1,5,1,4,6,7,50,3,1,5,4,5,55,4,1,3,5,5,51,5,2,3,6,6,58,6,3,3,6,5,55,3,4,4,3,5,35,4,2,3,4,7,50,4,2,6,3,6,52,5,2,4,5,7,71,1,2,5,2,6,54,5,6,3,5,5,27,2,4,5,3,6,31,5,5,4,5,4,33,2,7,3,3,4,20,2,5,5,4,4,27,2,3,5,3,5,28,4,4,3,4,3,34,2,4,5,3,6,35,5,4,2,5,4,20,2,3,3,2,5,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,1,,5,,faces1,face |age |traits,,
3/31/22 17:05,3/31/22 17:11,0,72.80.229.222,100,386,1,3/31/22 17:11,R_2TzSLVmpkjWGv40,,,,,40.751297,-73.82440186,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,2,1,7,4|3|5|1|2,71,4,3,4,3,4,3|5|1|2|4,71,4,4,4,4,5,3|4|5|2|1,46,6,6,6,6,6,5|4|3|1|2,59,3,3,7,6,5,5|2|1|4|3,62,4,3,4,4,5,5|3|4|1|2,37,2,2,4,3,7,3|4|2|1|5,67,4,4,6,4,6,2|1|4|3|5,68,2,3,6,6,6,2|1|3|4|5,71,6,4,3,4,6,3|5|1|4|2,79,6,6,4,2,1,5|2|1|3|4,21,3,5,2,5,5,2|4|5|1|3,25,4,3,3,4,4,3|2|1|4|5,26,5,5,1,5,1,3|5|2|1|4,26,5,4,2,5,2,1|4|3|2|5,33,3,4,3,4,3,2|4|1|3|5,38,4,3,6,3,6,4|2|3|5|1,26,2,3,6,2,6,4|5|3|1|2,28,2,1,2,2,5,2|5|1|3|4,26,4,2,4,3,4,2|3|4|5|1,22,20,2,,3,,faces3,,,face |age|traits
3/31/22 17:38,3/31/22 17:44,0,100.33.245.75,100,404,1,3/31/22 17:44,R_2wiOB7cVbYTXazk,,,,,40.87770081,-73.90799713,anonymous,EN,1,3,2,2,6,6,57,4,5,3,4,5,40,3,4,4,2,4,45,2,2,3,5,6,45,6,4,2,5,6,45,3,4,2,3,4,54,5,5,2,3,5,46,2,2,2,2,4,60,5,2,3,5,6,65,2,3,2,2,4,40,3,7,2,4,5,24,2,6,3,3,5,30,4,6,3,6,6,23,3,7,3,4,4,25,2,5,2,4,4,25,2,6,3,3,4,32,3,6,3,4,6,35,3,4,3,3,3,28,5,6,2,4,5,19,2,5,3,3,5,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,1,,3,,faces1,face |age |traits,,
